BRAND,PRODUCT SKU,PRODUCT NAME,Shop Name,PRODUCT LINK,Price,Price_Bundle
Unimig,U11007K,RAZOR MULTI 175,VEK TOOLS,https://www.vektools.com.au/unimig-razor-3-in-1-multi-175-mig-tig-stick-welder.html,"<span class=""price"">$1,299.00</span>",
UPTO HERE,U11008K,RAZOR MULTI 220,VEK TOOLS,,,
UPTO HERE,U11009K,RAZOR MULTI 250,VEK TOOLS,,,
UPTO HERE,U11010K,RAZOR COMPACT 250,VEK TOOLS,,,
UPTO HERE,KUMJR350K-SG,RAZOR COMPACT 350 (OLD),VEK TOOLS,,,
UPTO HERE,KUMJR250SWF,RAZOR 250 SWF,VEK TOOLS,,,
UPTO HERE,KUMJR350SWF,RAZOR 350 SWF,VEK TOOLS,,,
UPTO HERE,KUMJRRW500SWF,RAZOR 500 SWF,VEK TOOLS,,,
UPTO HERE,U12004,RAZOR TIG 200 ACDC WATER COOLER,VEK TOOLS,,,
UPTO HERE,U12002K,RAZOR TIG 200 ACDC,VEK TOOLS,https://www.vektools.com.au/unimig-razor-200-ac-dc-tig-inverter-welder-u12002k-replaces-kum-m-rtig200acdc.html,"1,999.00",
UPTO HERE,U12003K,RAZOR TIG 220 DC,VEK TOOLS,,,
UPTO HERE,KUMJRRW320ACDC,RAZOR 320 ACDC,VEK TOOLS,https://www.vektools.com.au/unimig-jusic-razor-weld-320-ac-dc-tig-welder-kumjrrw320acdc.html,"3,480.00",
UPTO HERE,U31006,VIPER ARC 140,VEK TOOLS,,,
UPTO HERE,U13002K,RAZOR ARC 160 PFC,VEK TOOLS,,,
UPTO HERE,KUMJRRW180CA,NOT ANALYSED SUBSEQUENTLY,VEK TOOLS,https://www.vektools.com.au/unimig-kumjrr180ca-180-amp-inverter-arc-stick-welder.html,445.00,
UPTO HERE,U13005,NEW RAZOR ARC 180,VEK TOOLS,,,
UPTO HERE,U13003K,RAZOR ARC 200 PFC,VEK TOOLS,,,
UPTO HERE,U13004,RAZOR ARC 140,VEK TOOLS,,,
UPTO HERE,U14005K,VIPER CUT 30 MK 2,VEK TOOLS,,,
UPTO HERE,U14001K,RAZOR CUT 40,VEK TOOLS,https://www.vektools.com.au/unimig-viper-cut-40-plasma-cutter-with-built-in-compressor-u14001k.html,"1,929.00",
UPTO HERE,U14006K,RAZOR CUT 45,VEK TOOLS,,,
UPTO HERE,U14007,RAZOR CUT 45 PLASMA CUTTER AIR COMPRESSOR,VEK TOOLS,,,
UPTO HERE,KUPJRRW80,RAZOR CUT 80,VEK TOOLS,,,
UPTO HERE,U14004K,RAZOR CUT 120,VEK TOOLS,,,
UPTO HERE,U14004K,RAZOR CUT 160,VEK TOOLS,,,
UPTO HERE,KUM27,WORKSHOP 270,VEK TOOLS,,,
UPTO HERE,KUM270SWF,WORKSHOP 270 SWF,VEK TOOLS,,,
UPTO HERE,KUM390,WORKSHOP 390,VEK TOOLS,,,
UPTO HERE,KUM390SWF,WORKSHOP 390 SWF,VEK TOOLS,,,
KUM390S/D,WORKSHOP 390 SWF DUAL VOLTAGE,WORKSHOP 390 SWF,VEK TOOLS,,,
KUM390S/D,KUM425SWF,WORKSHOP 425 SWF,VEK TOOLS,,,
KUM390S/D,U11119,EVOLVE MULTI 400,VEK TOOLS,,,
KUM390S/D,U11142,EVOLVE MULTI 500,VEK TOOLS,,,
